tag,stemtag,sp,quadrat,survey.ID,year,month,day,measure,codes,notes,field.recorders,data.enter,location
10671,1,quru,114,2019.04,2019,May,9,37.27,,triple-checked,Alyssa Terrell,Ian McGregor,South
12025,1,quru,117,2019.04,2019,May,9,28.56,,,Ian McGregor,Ian McGregor,North
30225,1,qual,306,2019.04,2019,May,9,28.18,,,Alyssa Terrell,Ian McGregor,South
30233,1,fagr,306,2019.04,2019,May,9,9.26,,,Alyssa Terrell,Ian McGregor,South
30234,1,fagr,306,2019.04,2019,May,9,10.3,,,Alyssa Terrell,Ian McGregor,South
30331,1,cagl,306,2019.04,2019,May,9,35.85,,,Alyssa Terrell,Ian McGregor,South
30333,1,fagr,306,2019.04,2019,May,9,37.12,,,Alyssa Terrell,Ian McGregor,South
30339,1,litu,307,2019.04,2019,May,9,68.07,,,Alyssa Terrell,Ian McGregor,South
30339,2,litu,307,2019.04,2019,May,9,31.89,,,Alyssa Terrell,Ian McGregor,South
30339,3,litu,307,2019.04,2019,May,9,36.34,,,Alyssa Terrell,Ian McGregor,South
30512,1,quru,313,2019.04,2019,May,9,10.34,,,Alyssa Terrell,Ian McGregor,South
30467,1,litu,314,2019.04,2019,May,9,94.49,,,Alyssa Terrell,Ian McGregor,South
32126,1,litu,321,2019.04,2019,May,9,8.78,,,Ian McGregor,Ian McGregor,North
40562,1,fagr,406,2019.04,2019,May,9,8.78,,,Alyssa Terrell,Ian McGregor,South
40563,1,fagr,406,2019.04,2019,May,9,16.3,,,Alyssa Terrell,Ian McGregor,South
40564,1,fagr,406,2019.04,2019,May,9,17.8,,,Alyssa Terrell,Ian McGregor,South
40565,1,cagl,406,2019.04,2019,May,9,14.25,RE,,Alyssa Terrell,Ian McGregor,South
40566,1,cagl,406,2019.04,2019,May,9,6.91,,,Alyssa Terrell,Ian McGregor,South
40567,1,fagr,406,2019.04,2019,May,9,6.89,,,Alyssa Terrell,Ian McGregor,South
40568,1,fagr,406,2019.04,2019,May,9,113.51,,,Alyssa Terrell,Ian McGregor,South
40569,1,litu,407,2019.04,2019,May,9,69.95,,,Alyssa Terrell,Ian McGregor,South
50364,1,qual,507,2019.04,2019,May,9,119.17,F,,Alyssa Terrell,Ian McGregor,South
50650,1,litu,514,2019.04,2019,May,9,16.96,,,Alyssa Terrell,Ian McGregor,South
50654,1,litu,514,2019.04,2019,May,9,39.27,,,Alyssa Terrell,Ian McGregor,South
52190,1,quru,522,2019.04,2019,May,9,96.43,,retag,Ian McGregor,Ian McGregor,North
60456,1,caca,614,2019.04,2019,May,9,8.31,,,Alyssa Terrell,Ian McGregor,South
