"sp","biannual.n","intraannual.n","dbhmin.mm","dbhmax.mm","dbhavg.mm"
"Sum",505,105,NA,NA,NA
"acru",7,0,NA,NA,NA
"caca",3,0,78.8,107.2,88.7
"caco",6,0,104.9,463.1,327.3
"cagl",21,0,64.6,991.2,349.7
"caovl",5,0,230.8,547,353.7
"cato",6,0,127.7,426,271.1
"ceca",4,0,55.8,139.1,82.6
"fagr",2,0,151.4,1030.4,590.9
"fram",38,0,142,1053.4,624.8
"frni",1,0,278.8,278.8,278.8
"juni",10,0,288.4,854,497.1
"litu",215,33,95.2,1365.2,598.1
"nysy",8,0,44.3,575.1,257
"pist",5,0,206.3,418,301.7
"ploc",5,0,563.3,929.5,758.2
"prse",1,0,931,931,931
"qual",54,36,144.8,1017.5,600.2
"qupr",8,0,418.3,845.9,648.1
"quru",54,33,111,1432.1,738.7
"rops",1,0,461,461,461
"saal",1,0,451,451,451
"quve",41,3,261,1502.4,737.2
