tag,stemtag,sp,quadrat,survey.ID,year,month,day,measure,codes,notes,field.recorders,data.enter,location
10671,1,quru,114,2019.1,2019,August,8,49.87,,,Ian McGregor,Ian McGregor,South
12025,1,quru,117,2019.1,2019,August,8,40.64,,,Ian McGregor,Ian McGregor,North
30225,1,qual,306,2019.1,2019,August,8,29.35,,,Ian McGregor,Ian McGregor,South
30233,1,fagr,306,2019.1,2019,August,8,20.67,,,Ian McGregor,Ian McGregor,South
30234,1,fagr,306,2019.1,2019,August,8,12.56,,,Ian McGregor,Ian McGregor,South
30331,1,cagl,306,2019.1,2019,August,8,43.45,,,Ian McGregor,Ian McGregor,South
30333,1,fagr,306,2019.1,2019,August,8,51.41,,,Ian McGregor,Ian McGregor,South
30339,1,litu,307,2019.1,2019,August,8,83.82,,,Ian McGregor,Ian McGregor,South
30339,2,litu,307,2019.1,2019,August,8,56.97,,double-checked,Ian McGregor,Ian McGregor,South
30339,3,litu,307,2019.1,2019,August,8,40.64,,,Ian McGregor,Ian McGregor,South
30512,1,quru,313,2019.1,2019,August,8,20.54,,,Ian McGregor,Ian McGregor,South
30467,1,litu,314,2019.1,2019,August,8,102.24,,,Ian McGregor,Ian McGregor,South
32126,1,litu,321,2019.1,2019,August,8,79.26,,,Ian McGregor,Ian McGregor,North
40562,1,fagr,406,2019.1,2019,August,8,9.41,,,Ian McGregor,Ian McGregor,South
40563,1,fagr,406,2019.1,2019,August,8,35.66,,,Ian McGregor,Ian McGregor,South
40564,1,fagr,406,2019.1,2019,August,8,21.97,,,Ian McGregor,Ian McGregor,South
40565,1,cagl,406,2019.1,2019,August,8,7.83,,,Ian McGregor,Ian McGregor,South
40566,1,cagl,406,2019.1,2019,August,8,15.6,,,Ian McGregor,Ian McGregor,South
40567,1,fagr,406,2019.1,2019,August,8,11.45,,,Ian McGregor,Ian McGregor,South
40568,1,fagr,406,2019.1,2019,August,8,9.77,,,Ian McGregor,Ian McGregor,South
40569,1,litu,407,2019.1,2019,August,8,89.09,,,Ian McGregor,Ian McGregor,South
50364,1,qual,507,2019.1,2019,August,8,124.93,F,,Ian McGregor,Ian McGregor,South
50650,1,litu,514,2019.1,2019,August,8,19.26,,,Ian McGregor,Ian McGregor,South
50654,1,litu,514,2019.1,2019,August,8,49.06,,,Ian McGregor,Ian McGregor,South
52190,1,quru,522,2019.1,2019,August,8,106.29,,,Ian McGregor,Ian McGregor,North
60456,1,caca,614,2019.1,2019,August,8,9.6,,,Ian McGregor,Ian McGregor,South
60457,1,caca,614,2019.1,2019,August,8,12.49,,,Ian McGregor,Ian McGregor,South
60562,1,fagr,614,2019.1,2019,August,8,7.71,,,Ian McGregor,Ian McGregor,South
60563,1,caca,614,2019.1,2019,August,8,15.11,,,Ian McGregor,Ian McGregor,South
60566,1,fagr,614,2019.1,2019,August,8,100.44,,,Ian McGregor,Ian McGregor,South
60567,1,litu,614,2019.1,2019,August,8,64.68,,,Ian McGregor,Ian McGregor,South
