tag,stemtag,sp,dbh,quadrat,lx,ly,area,location,previous_measure,measure,measure_verified,new.band,codes,notes,survey.ID,year,month,day,field.recorders,data.enter
10671,1,quru,851,114,6.2,14.5,3,South,93.55,,,,,,2022.03,2022,,,,
22315,1,caco,550,225,11,4,4,North,13.7,,,,,,2022.03,2022,,,,
30233,1,fagr,1072,306,15.6,16.2,3,South,62.97,,,,,,2022.03,2022,,,,
30234,1,fagr,81,306,15.3,18.5,3,South,16.14,,,,,,2022.03,2022,,,,
30333,1,fagr,222,306,14,19.3,3,South,80.4,,,,,,2022.03,2022,,,,
30339,1,litu,153.1,307,8.6,4.1,3,South,104.1,,,,,,2022.03,2022,,,,
30339,2,litu,153.1,307,8.6,4.1,3,South,111.39,,,,,,2022.03,2022,,,,
30339,3,litu,153.1,307,8.6,4.1,3,South,47.45,,,,,,2022.03,2022,,,,
30467,1,litu,608,314,17.3,3,3,South,115.5,,,,,,2022.03,2022,,,,
30512,1,quru,845.5,313,2.9,14.3,3,South,54.35,,,,,,2022.03,2022,,,,
30584,1,quve,873.5,316,2.2,14.4,4,North,80.48,,,,,,2022.03,2022,,,,
32126,1,litu,995.5,321,9.6,5,4,North,115.62,,,,,,2022.03,2022,,,,
32381,1,qupr,834,327,4.6,12.8,4,North,96.52,,,,,,2022.03,2022,,,,
32540,1,qupr,841.8,332,19.9,15.6,4,North,112.63,,,,,,2022.03,2022,,,,
40562,1,fagr,86,406,6.3,16.2,3,South,11.15,,,,,,2022.03,2022,,,,
40563,1,fagr,365,406,3.6,17.8,3,South,76.92,,,,,,2022.03,2022,,,,
40565,1,cagl,184,406,1.9,10.1,3,South,NA,,,,,,2022.03,2022,,,,
40566,1,cagl,270.2,406,1.1,9.4,3,South,28.79,,,,,,2022.03,2022,,,,
40567,1,fagr,93.3,406,1.6,7.2,3,South,20.9,,,,,,2022.03,2022,,,,
40568,1,fagr,206,406,0.1,5.2,3,South,44.38,,,,,,2022.03,2022,,,,
40635,1,cato,258.7,408,18.7,1,3,South,53.84,,,,,,2022.03,2022,,,,
40942,1,acru,395.9,414,2.2,2,3,South,115.53,,,,,,2022.03,2022,,,,
50364,1,qual,661.9,507,4.2,18.1,2,South,13.61,,,,,,2022.03,2022,,,,
52190,1,quru,968.5,522,16.4,3.4,4,North,54.95,,,,,,2022.03,2022,,,,
60161,1,qupr,867,608,17.5,14.1,2,South,104.82,,,,,,2022.03,2022,,,,
60458,1,fagr,269.5,615,1.9,0,3,South,46.98,,,,,,2022.03,2022,,,,
60459,1,fagr,99.7,615,2,3,3,South,24.86,,,,,,2022.03,2022,,,,
