tag,stemtag,sp,dbh,quadrat,lx,ly,area,location,previous_measure,measure,measure.verified,codes,new.band,notes,field.recorders,data.enter,survey.ID,year,month,day
130348,1,litu,578.3,1302,19.9,1.9,1,South,71.85,74.07,,,,,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
140609,1,litu,1081.9,1403,4.3,3.6,1,South,66.34,67.54,,,,,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
150781,1,ulru,126,1504,1.2,18.5,1,South,10.36,9.85,,,,,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
160713,1,litu,838,1603,10.4,13.7,1,South,129.44,131.2,,"NB, RT",1,new band to be installed,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
160742,1,litu,860,1605,19.3,6.6,1,South,21.97,21.67,,,,,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
160910,1,litu,996,1607,8.6,1.1,1,South,58.3,59.6,,,,,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
160805,1,quve,621,1610,17.8,9.9,1,South,NA,9.93,,,1,new band to be installed,Jessica Shue,Jessica Shue,2025.01,2025,3,19
160814,1,cato,441,1611,14.3,5.7,1,South,15.3,10.45,,,,,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
160862,1,ploc,834,1614,12.4,15.2,1,South,134.74,136.12,,,1,new band to be installed,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
170175,1,litu,885,1702,4.7,1.6,1,South,31.14,31.26,,,,,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
170992,1,litu,686.7,1704,12.2,15.2,1,South,19.66,20.56,,,,,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
170994,1,litu,555.9,1704,18.4,16.1,1,South,55,55.6,,RT,,,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
171127,1,litu,737.2,1705,9.3,1.8,1,South,94,94.43,,,,,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
171254,1,litu,765,1708,15.3,3.4,1,South,133.97,135.33,,,1,new band to be installed,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
171257,1,litu,621,1708,12.2,4.5,1,South,112.78,113.23,,,,,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
171262,1,litu,616.9,1708,15.9,8.2,1,South,52.79,52.06,,,,,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
171348,1,ceca,155.4,1714,19.4,2.4,1,South,11.51,11.69,,,,,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
171454,1,caco,118,1714,1.6,13.8,1,South,30.3,30.41,,,,,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
171456,1,acru,715,1714,0.8,13.4,1,South,77.18,72.82,,BA,,"two stems above DBH, irregular","John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
171462,1,qual,845,1715,7.9,7.5,1,South,93.33,94.06,,,,,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
180235,1,litu,1064,1802,11,4.6,1,South,55.5,56.03,,RT,,,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
180648,1,juni,299,1804,7.5,10.9,1,South,3.74,2.38,,,,,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
180728,1,litu,409,1804,3.1,12.7,1,South,60.34,60.68,,,,,"John Whitmoyer, Phoung Thao",Jessica Shue,2025.01,2025,3,18
