,tag,stemtag,sp,dbh,quadrat,lx,ly,area,location,previous_measure,measure,measure_verified,new.band,codes,notes,survey.ID,year,month,day,field.recorders,data.enter
,* One technician did not finish their section due to inclement weather ,,,,,,,,,,,,,,,,,,,,
1,10671,1,quru,851,114,6.2,14.5,3,South,25.03,26.6,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
142,22186,1,tiam,370,222,17,7.5,4,North,17.90,18.05,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
2,22315,1,caco,550,225,11,4,4,North,26.77,N/A,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
153,22601,1,juni,197,231,17.8,10,4,North,10.06,N/A,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
3,30233,1,fagr,1072,306,15.6,16.2,3,South,107.53,108.02,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
4,30234,1,fagr,81,306,15.3,18.5,3,South,21.7,21.41,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
148,30331,1,cagl,231,306,8.3,19.5,3,South,30.98,N/A,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
5,30333,1,fagr,222,306,14,19.3,3,South,112.3,111.75,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
6,30339,1,litu,153.1,307,8.6,4.1,3,South,16.95,16.5,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
7,30339,2,litu,153.1,307,8.6,4.1,3,South,16.95,14.66,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
8,30339,3,litu,153.1,307,8.6,4.1,3,South,16.95,15.11,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
9,30467,1,litu,608,314,17.3,3,3,South,11,11.51,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
10,30512,1,quru,845.5,313,2.9,14.3,3,South,102.84,105.21,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
11,30584,1,quve,873.5,316,2.2,14.4,4,North,N/A,N/A,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
12,32126,1,litu,995.5,321,9.6,5,4,North,26.75,29.75,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
13,32381,1,qupr,834,327,4.6,12.8,4,North,27.45,N/A,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
14,40562,1,fagr,86,406,6.3,16.2,3,South,8.49,8.44,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
15,40563,1,fagr,365,406,3.6,17.8,3,South,127.9,N/A,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
149,40564,1,fagr,69,406,2.4,12.4,3,South,15.45,N/A,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
16,40566,1,cagl,270.2,406,1.1,9.4,3,South,50.11,50.02,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
17,40567,1,fagr,93.3,406,1.6,7.2,3,South,32.56,33.76,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
18,40568,1,fagr,206,406,0.1,5.2,3,South,79.37,79.94,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
19,40635,1,cato,258.7,408,18.7,1,3,South,69.03,69.15,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
20,40942,1,acru,395.9,414,2.2,2,3,South,14.35,14.70,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
21,50364,1,qual,661.9,507,4.2,18.1,2,South,34.98,36.32,,,,,2024.02,2024,7,29,Emily Scott,Rachel Hoffman
22,50562,1,quru,695,514,6.9,12.5,3,South,76.01,77.12,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
23,50650,1,litu,184.3,514,19.5,14.9,3,South,28.61,28.88,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
24,52190,1,quru,968.5,522,16.4,3.4,4,North,93.85,94.88,,,,,2024.02,2024,7,29,Rachel Hoffman,Rachel Hoffman
25,60266,1,cato,496,604,5.5,9.2,2,South,26.58,28.78,,,,,2024.02,2024,7,29,Emily Scott,Rachel Hoffman
26,60458,1,fagr,269.5,615,1.9,0,3,South,74.56,74.08,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
27,60459,1,fagr,99.7,615,2,3,3,South,32.9,32.81,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
28,60462,1,fagr,209.5,615,5.6,7.6,3,South,20.08,20.92,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
29,60463,1,juni,468,615,7.2,8,3,South,100.64,101.62,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
30,60469,1,cofl,70,615,6.8,9.8,3,South,10.35,10.66,,,,,2024.02,2024,7,29,Freya Christensen,Rachel Hoffman
